idCATEGORIA;idPRODUCTOS;CATEGORIA;DESCRIPCION DE LA CATEGORIA;CLASE;GENERO;ARMADOR;SERVICIO;NO.PARTE;ORIGEN;UNIDAD;SISTEMA
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;M3;JIAXING HIFINE INPORTEXPORT;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;M3;JIAXING HIFINE INPORTEXPORT;Alternadores;;;;;;;
;;M3;JIAXING HIFINE INPORTEXPORT;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C6;VALEO SISTEMAS AUTOMOTIVOS LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;I1;GALLEGOS RETAMA MARIA ELENA;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;C6;VALEO SISTEMAS AUTOMOTIVOS LTD;Alternadores;;;;;;;
;;M3;JIAXING HIFINE INPORTEXPORT;Alternadores;;;;;;;
;;I6;WIL CORPORATION;Alternadores;;;;;;;
;;C6;VALEO SISTEMAS AUTOMOTIVOS LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;M3;JIAXING HIFINE INPORTEXPORT;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C6;VALEO SISTEMAS AUTOMOTIVOS LTD;Alternadores;;;;;;;
;;M3;JIAXING HIFINE INPORTEXPORT;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;M3;JIAXING HIFINE INPORTEXPORT;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;M3;JIAXING HIFINE INPORTEXPORT;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;B0;TOPSUN (SHANGAI) AUTO PARTS CO;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C6;VALEO SISTEMAS AUTOMOTIVOS LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;A1;CUEVAS PEREZ MIGUEL ANGEL;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;A1;CUEVAS PEREZ MIGUEL ANGEL;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;A1;CUEVAS PEREZ MIGUEL ANGEL;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;L2;RCP INC.;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;G5;WETHERILL ASSOCIATES INC.;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;Q2;IND. ELECTRICA AUTOMOTRIZ KOR;Alternadores;;;;;;;
;;Q2;IND. ELECTRICA AUTOMOTRIZ KOR;Alternadores;;;;;;;
;;Q2;IND. ELECTRICA AUTOMOTRIZ KOR;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;P5;REMY COMERCIALIZADORA;Alternadores;;;;;;;
;;E2;ROBERT BOSCH, S.A. DE C.V.;Alternadores;;;;;;;
;;G5;WETHERILL ASSOCIATES INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;C3;APEKS INTERNATIONAL INC.;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P3;YBM(ZHEJIANG) TRADE CO LTD;Alternadores;;;;;;;
;;P9;REMY REMANUFACTURING DE MEXICO;Alternadores;;;;;;;
